Resource,Id,Value,DisplayName,PermissionType
Microsoft Graph,58ca0d9a-1575-47e1-a3cb-007ef2e4583b,DeviceManagementRBAC.Read.All,Read Microsoft Intune RBAC settings,Application
Microsoft Graph,c7a5be92-2b3d-4540-8a67-c96dcaae8b43,DeviceManagementScripts.Read.All,Read Microsoft Intune Scripts,Application
Microsoft Graph,f9c2b2a7-3895-4b2e-80f6-c924b456e50b,MultiTenantOrganization.ReadBasic.All,Read multi-tenant organization basic details and active tenants,Application
Microsoft Graph,b2e060da-3baf-4687-9611-f4ebc0f0cbde,Chat.ReadBasic.All,Read names and members of all chat threads,Application
Microsoft Graph,818ba5bd-5b3e-4fe0-bbe6-aa4686669073,Chat.ReadBasic.WhereInstalled,Read names and members of all chat threads where the associated Teams application is installed.,Application
Microsoft Graph,df01ed3b-eb61-4eca-9965-6b3d789751b2,OnlineMeetingArtifact.Read.All,Read online meeting artifacts,Application
Microsoft Graph,c1684f21-1984-47fa-9d61-2dc8c296bb70,OnlineMeetings.Read.All,Read online meeting details,Application
Microsoft Graph,498476ce-e0fe-48b0-b801-37ba7e2685c6,Organization.Read.All,Read organization information,Application
Microsoft Graph,56c84fa9-ea1f-4a15-90f2-90ef41ece2c9,OrgSettings-AppsAndServices.Read.All,Read organization-wide apps and services settings,Application
Microsoft Graph,c18ae2dc-d9f3-4495-a93f-18980a0e159f,OrgSettings-DynamicsVoice.Read.All,Read organization-wide Dynamics customer voice settings,Application
Microsoft Graph,6cdf1fb1-b46f-424f-9493-07247caa22e2,OrgSettings-Microsoft365Install.Read.All,Read organization-wide Microsoft 365 apps installation settings,Application
Microsoft Graph,434d7c66-07c6-4b1f-ab21-417cf2cdaaca,OrgSettings-Forms.Read.All,Read organization-wide Microsoft Forms settings,Application
Microsoft Graph,e4d9cd09-d858-4363-9410-abb96737f0cf,OrgSettings-Todo.Read.All,Read organization-wide Microsoft To Do settings,Application
Microsoft Graph,eb76ac34-0d62-4454-b97c-185e4250dc20,OrganizationalBranding.Read.All,Read organizational branding information,Application
Microsoft Graph,e1a88a34-94c4-4418-be12-c87b00e26bea,OrgContact.Read.All,Read organizational contacts,Application
Microsoft Graph,75bcfbce-a647-4fba-ad51-b63d73b210f4,Teamwork.Read.All,Read organizational teamwork settings,Application
Microsoft Graph,a70e0c2d-e793-494c-94c4-118fa0a67f42,Presence.Read.All,Read presence information for all users,Application
Microsoft Graph,ac6f956c-edea-44e4-bd06-64b1b4b9aec9,PrintJob.Read.All,Read print jobs,Application
Microsoft Graph,9709bb33-4549-49d4-8ed9-a8f65e45bb0f,Printer.Read.All,Read printers,Application
Microsoft Graph,01e37dc9-c035-40bd-b438-b2879c4870a6,PrivilegedAccess.Read.AzureADGroup,Read privileged access to Azure AD groups,Application
Microsoft Graph,4cdc2547-9148-4295-8d11-be0db1391d6b,PrivilegedAccess.Read.AzureAD,Read privileged access to Azure AD roles,Application
Microsoft Graph,5df6fe86-1be0-44eb-b916-7bd443a71236,PrivilegedAccess.Read.AzureResources,Read privileged access to Azure resources,Application
Microsoft Graph,e24d31aa-e1ab-4c80-85fe-23018690335d,ProfilePhoto.Read.All,Read profile photo of a user or group,Application
Microsoft Graph,39ae4a24-1ef0-49e8-9d63-2a66f5c39edd,NetworkAccessBranch.Read.All,Read properties of all branches for network access,Application
Microsoft Graph,a2611786-80b3-417e-adaa-707d4261a5f0,CallRecord-PstnCalls.Read.All,Read PSTN and direct routing call log data,Application
Microsoft Graph,ac3a2b8e-03a3-4da9-9ce0-cbe28bf1accd,RecordsManagement.Read.All,"Read Records Management configuration, labels and policies",Application
Microsoft Graph,2ff643d8-43e4-4a9b-88c1-86cb4a4b4c2f,ResourceSpecificPermissionGrant.ReadForChat.All,Read resource specific permissions granted on a chat,Application
Microsoft Graph,ad4600ae-d900-42cb-a9a2-2415d05593d0,ResourceSpecificPermissionGrant.ReadForTeam.All,Read resource specific permissions granted on a team,Application
Microsoft Graph,bebd0841-a3d8-4313-a51d-731112c8ee41,BackupRestore-Restore.ReadWrite.All,Read restore all sessions and start restore sessions from backups,Application
Microsoft Graph,c7fbd983-d9aa-4fa7-84b8-17382c103bc4,RoleManagement.Read.All,Read role management data for all RBAC providers,Application
Microsoft Graph,04a2c935-5b4b-474a-be42-11f53111f271,PartnerSecurity.ReadWrite.All,Read security alerts and update status of security alerts of customer with CSP relationship,Application
Microsoft Graph,21ffa320-2e7f-47d3-a466-7ff04d2dd68d,PartnerSecurity.Read.All,Read security alerts of customer with CSP relationship,Application
Microsoft Graph,44fb0e7c-1f9a-47f1-bb9e-7f92d48ed288,TeamsAppInstallation.ReadSelectedForUser.All,Read selected installed Teams apps for all users,Application
Microsoft Graph,53d40ddb-9b27-4c97-b800-985be6041990,TeamsAppInstallation.ReadSelectedForChat.All,Read selected installed Teams apps in all chats,Application
Microsoft Graph,93c6a289-70fd-489e-a053-6cf8f7d772f6,TeamsAppInstallation.ReadSelectedForTeam.All,Read selected installed Teams apps in all teams,Application
Microsoft Graph,79c261e0-fe76-4144-aad5-bdc68fbe4037,ServiceHealth.Read.All,Read service health,Application
Microsoft Graph,1b620472-6534-4fe6-9df2-4680e8aa28ec,ServiceMessage.Read.All,Read service messages,Application
Microsoft Graph,5256681e-b7f6-40c0-8447-2d9db68797a0,ServicePrincipalEndpoint.Read.All,Read service principal endpoints,Application
Microsoft Graph,83d4163d-a2d8-4d3b-9695-4ae3ca98f888,SharePointTenantSettings.Read.All,Read SharePoint and OneDrive tenant settings,Application
Microsoft Graph,dcdfc277-41fd-4d68-ad0c-c3057235bd8e,SpiffeTrustDomain.Read.All,Read SPIFFE trust domains and child resources,Application
Microsoft Graph,46890524-499a-4bb2-ad64-1476b4f3e1cf,TeamsTab.Read.All,Read tabs in Microsoft Teams.,Application
Microsoft Graph,b74fd6c4-4bde-488e-9695-eeb100e4907f,TeamworkTag.Read.All,Read tags in Teams,Application
Microsoft Graph,475ebe88-f071-4bd7-af2b-642952bd4986,TeamworkAppSettings.Read.All,Read Teams app settings,Application
Microsoft Graph,0591bafd-7c1c-4c30-a2a5-2b9aacb1dfe8,TeamworkDevice.Read.All,Read Teams devices,Application
Microsoft Graph,b55aa226-33a1-4396-bcf4-edce5e7a31c1,TeamsResourceAccount.Read.All,Read Teams resource accounts,Application
Microsoft Graph,a91eadaf-2c3c-4362-908b-fb172d208fc6,TeamsUserConfiguration.Read.All,Read Teams user configurations,Application
Microsoft Graph,39b17d18-680c-41f4-b9c2-5f30629e7cb6,TeamsTelephoneNumber.Read.All,Read Tenant-Acquired Telephone Number Details,Application
Microsoft Graph,b5991872-94cf-4652-9765-29535087c6d8,PrintSettings.Read.All,Read tenant-wide print settings,Application
Microsoft Graph,3b55498e-47ec-484f-8136-9013221c06a9,ChannelMember.Read.All,Read the members of all channels,Application
Microsoft Graph,a3410be2-8e48-4f32-8454-c29a7465209d,ChatMember.Read.All,Read the members of all chats,Application
Microsoft Graph,93e7c9e4-54c5-4a41-b796-f2a5adaacda7,ChatMember.Read.WhereInstalled,Read the members of all chats where the associated Teams application is installed.,Application
Microsoft Graph,660b7406-55f1-41ca-a0ed-0b035e182f3e,TeamMember.Read.All,Read the members of all teams,Application
Microsoft Graph,59a6b24b-4225-4393-8165-ebaec5f55d7a,Channel.ReadBasic.All,Read the names and descriptions  of all channels,Application
Microsoft Graph,c97b873f-f59f-49aa-8a0e-52b32d762124,ChannelSettings.Read.All,"Read the names, descriptions, and settings of all channels",Application
Microsoft Graph,e0ac9e1b-cb65-4fc5-87c5-1a8bc181f648,EduRoster.Read.All,Read the organization's roster,Application
Microsoft Graph,9fd1f8bf-a443-4df6-bc2a-5d00c5ec7828,CustomSecAttributeProvisioning.Read.All,Read the provisioning configuration of all active custom security attributes,Application
Microsoft Graph,6fe20a79-0e15-45a1-b019-834c125993a0,BackupRestore-Control.Read.All,Read the status of the M365 backup service,Application
Microsoft Graph,f8f035bb-2cce-47fb-8bf5-7baf3ecbee48,ThreatAssessment.Read.All,Read threat assessment requests,Application
Microsoft Graph,7c55c952-b095-4c23-a522-022bce4cc1e3,IndustryData-TimePeriod.Read.All,Read time period definitions,Application
Microsoft Graph,fff194f1-7dce-4428-8301-1badb5518201,TrustFrameworkKeySet.Read.All,Read trust framework key sets,Application
Microsoft Graph,f10b94b9-37d1-4c88-8b7e-bf75a1152d39,WorkforceIntegration.Read.All,Read workforce integrations,Application
Microsoft Graph,37730810-e9ba-4e46-b07e-8ca78d182097,Policy.Read.ConditionalAccess,Read your organization's conditional access policies,Application
Microsoft Graph,bdba4817-6ba1-4a7c-8a01-be9bc7c242dd,Policy.Read.DeviceConfiguration,Read your organization's device configuration policies,Application
Microsoft Graph,b21b72f6-4e6a-4533-9112-47eea9f97b28,Policy.Read.IdentityProtection,Read your organization’s identity protection policy,Application
Microsoft Graph,246dd0d5-5bd0-4def-940b-0421030a5b68,Policy.Read.All,Read your organization's policies,Application
Microsoft Graph,ada977a5-b8b1-493b-9a91-66c206d76ecf,SearchConfiguration.Read.All,Read your organization's search configuration,Application
Microsoft Graph,5e0edab9-c148-49d0-b423-ac253e121825,SecurityActions.Read.All,Read your organization's security actions,Application
Microsoft Graph,bf394140-e372-4bf9-a898-299cfc7564e5,SecurityEvents.Read.All,Read your organization’s security events,Application
Microsoft Graph,bf46a256-f47d-448f-ab78-f226fff08d40,VirtualAppointment.ReadWrite.All,"Read-write all virtual appointments for users, as authorized by online meetings app access policy",Application
Microsoft Graph,41202f2c-f7ab-45be-b001-85c9728b9d69,PrivilegedAssignmentSchedule.ReadWrite.AzureADGroup,"Read, create, and delete assignment schedules for access to Azure AD groups",Application
Microsoft Graph,618b6020-bca8-4de6-99f6-ef445fa4d857,PrivilegedEligibilitySchedule.ReadWrite.AzureADGroup,"Read, create, and delete eligibility schedules for access to Azure AD groups",Application
Microsoft Graph,e125258e-8c8a-42a8-8f55-ab502afa52f3,AttackSimulation.ReadWrite.All,"Read, create, and update all attack simulation data of an organization",Application
Microsoft Graph,842c284c-763d-4a97-838d-79787d129bab,ShortNotes.ReadWrite.All,"Read, create, edit, and delete all users' short notes",Application
Microsoft Graph,fee28b28-e1f3-4841-818e-2704dc62245f,RoleEligibilitySchedule.ReadWrite.Directory,"Read, update, and delete all eligible role assignments and schedules for your company's directory",Application
Microsoft Graph,31e08e0a-d3f7-4ca2-ac39-7343fb83e8ad,RoleManagementPolicy.ReadWrite.Directory,"Read, update, and delete all policies for privileged role assignments of your company's directory",Application
Microsoft Graph,dd199f4a-f148-40a4-a2ec-f0069cc799ec,RoleAssignmentSchedule.ReadWrite.Directory,"Read, update, and delete all policies for privileged role assignments of your company's directory",Application
Microsoft Graph,b38dcc4d-a239-4ed6-aa84-6c65b284f97c,RoleManagementPolicy.ReadWrite.AzureADGroup,"Read, update, and delete all policies in PIM for Groups",Application
Microsoft Graph,456b71a7-0ee0-4588-9842-c123fcc8f664,PrintTaskDefinition.ReadWrite.All,"Read, write and update print task definitions",Application
Microsoft Graph,7239b71d-b402-4150-b13d-78ecfe8df441,SchedulePermissions.ReadWrite.All,Read/Write schedule permissions for a role,Application
Microsoft Graph,214e810f-fda8-4fd7-a475-29461495eb00,CustomAuthenticationExtension.Receive.Payload,Receive custom authentication extension HTTP requests,Application
Microsoft Graph,77f3a031-c388-4f99-b373-dc68676a979e,User.RevokeSessions.All,Revoke all sign in sessions for a user,Application
Microsoft Graph,dd98c7f5-2d42-42d3-a0e4-633161547251,ThreatHunting.Read.All,Run hunting queries,Application
Microsoft Graph,3a87a643-13d2-47aa-8d6a-b0a8377cb03b,LifecycleWorkflows-Workflow.Activate,Run workflows on-demand in Lifecycle workflows,Application
Microsoft Graph,f6135c51-c766-4be1-9638-ed90c2ed2443,BackupRestore-Search.Read.All,Search for metadata properties in all backup snapshots,Application
Microsoft Graph,a267235f-af13-44dc-8385-c1dc93023186,TeamsActivity.Send,Send a teamwork activity to any user,Application
Microsoft Graph,b633e1c5-b582-4048-a93e-9f11b44c7e96,Mail.Send,Send mail as any user,Application
Microsoft Graph,97e45b36-1250-48e4-bd70-2df6dab7e94a,VirtualAppointmentNotification.Send,Send notification regarding virtual appointments as any user,Application
Microsoft Graph,cbe6c7e4-09aa-4b8d-b3c3-2dbb59af4b54,InformationProtectionContent.Sign.All,Sign digests for data,Application
Microsoft Graph,0b21c159-dbf4-4dbb-a6f6-490e412c716e,Schedule-WorkingTime.ReadWrite.All,Trigger working time policies and read the working time status,Application
Microsoft Graph,fb240865-88f8-4a1d-923f-98dbc7920860,BackupRestore-Control.ReadWrite.All,Update or read the status of the M365 backup service,Application
Microsoft Graph,f6318678-2713-4bb6-b123-233e7336c1bd,AuditActivity.Write,Upload activity audit logs to the audit store.,Application
Microsoft Graph,2932e07a-3c29-44e4-bb36-6d0fc176387f,ContentActivity.Write,Upload content activity audit logs to the audit store.,Application
Microsoft Graph,9334c44b-a7c6-4350-8036-6bf8e02b4c1f,IndustryData-DataConnector.Upload,Upload files to a data connector,Application
Microsoft Graph,25c32ff3-849a-494b-b94f-20a8ac4e6774,SynchronizationData-User.Upload.OwnedBy,Upload user data to the identity sync service for apps that this application creates or owns,Application
Microsoft Graph,db31e92a-b9ea-4d87-bf6a-75a37a9ca35a,SynchronizationData-User.Upload,Upload user data to the identity synchronization service,Application
Microsoft Graph,7e429772-5b5e-47c0-8fd6-7279294c8033,IndustryData-Run.Start,View and start runs,Application
Microsoft Graph,4f5ac95f-62fd-472c-b60f-125d24ca0bc5,IndustryData.ReadBasic.All,View basic service and resource information,Application
Microsoft Graph,f6f5d10b-3024-4d1d-b674-aae4df4a1a73,IndustryData-Run.Read.All,View current and previous runs,Application
Microsoft Graph,7ab52c2f-a2ee-4d98-9ebc-725e3934aae2,IndustryData-DataConnector.Read.All,View data connector definitions,Application
Microsoft Graph,305f6ba2-049a-4b1b-88bb-fe7e08758a00,IndustryData-InboundFlow.Read.All,View inbound flow definitions,Application
Microsoft Graph,61d0354c-5d88-483c-b974-a37ec3395a2c,IndustryData-OutboundFlow.Read.All,View outbound flow definitions,Application
Microsoft Graph,6ee891c3-74a4-4148-8463-0c834375dfaf,IndustryData-ReferenceDefinition.Read.All,View reference definitions,Application
Microsoft Graph,bc167a60-39fe-4865-8b44-78400fc6ed03,IndustryData-SourceSystem.Read.All,View source system definitions,Application
Microsoft Graph,3591b7f3-dba8-4bad-b667-7a64bd4f2b83,PublicKeyInfrastructure.ReadWrite.All,,Delegated
Microsoft Graph,04a4b2a2-3f26-4fc8-87ee-9c46e68db175,PublicKeyInfrastructure.Read.All,,Delegated
Microsoft Graph,e197c06f-ae7b-4398-b0a2-89f76ebca159,RiskPreventionProviders.Read.All,,Delegated
Microsoft Graph,4fc04d16-a9fc-4c5e-8da4-79b6c33638a4,ProtectionScopes.Compute.User,,Delegated
Microsoft Graph,98f5a27a-539a-48bc-a597-f78e9e1e76bf,ProtectionScopes.Compute.All,,Delegated
Microsoft Graph,95aec97b-cf27-4a8d-a67d-42f60b5b38ef,ProvisioningLog.Read.All,,Delegated
Microsoft Graph,f73fa04f-b9a5-4df9-8843-993ce928925e,QnA.Read.All,,Delegated
